Response Id,Age,Gender,Marital Status,Frequency,Theaters1,Theaters,Free.Online1,Free.Online,Netflix1,Netflix,Others,Source Preference,Content Likability Rating,Theatre Viewing Reasons,Action,Comedy,Romance,Thriller,Adeventure,Mystery,Horror,Animation,Viewing Behaviour Change,Netflix Future
15,3,Male,Married,Monthly,YES,1,YES,1,NO,0,0,Theaters|free online streaming,46,Genre preferences,1,1,1,1,1,1,0,0,Yes,Can't say
16,3,Female,Married,Monthly,NO,0,YES,1,NO,0,0,free online streaming,7,Cast preferences ,0,1,0,0,0,0,0,0,Yes,Yes
17,3,Female,Married,Monthly,YES,1,NO,0,YES,1,0,Paid subscription like Netflix|Theaters    ,75,Genre preferences,1,1,1,1,0,1,0,0,Yes,No
18,3,Female,Married,Weekly ,NO,0,NO,0,NO,0,1,others,3,Cast preferences ,0,1,0,0,1,1,0,1,Yes,Yes
19,4,Female,Married,Monthly,NO,0,NO,0,YES,1,0,Paid subscription like Netflix,70,Genre preferences,0,0,0,0,0,1,0,0,Can't say,Yes
20,4,Male,Married,Weekly ,NO,0,NO,0,YES,1,0,Paid subscription like Netflix,40,Genre preferences,1,1,0,0,1,0,0,0,Yes,No
21,4,Male,Married,Weekly ,YES,1,NO,0,NO,0,0,theaters ,49,Cast preferences ,0,1,0,0,0,0,0,0,Yes,No
22,4,Female,Married,Monthly,YES,1,YES,1,NO,0,0,Theaters|free online streaming,NA,Genre preferences,1,1,,0,0,1,0,0,Yes,No
23,3,Male,Married,Biweekly,YES,1,NO,0,NO,0,0,theaters,5,Genre preferences,0,0,0,1,0,0,0,0,Yes,Yes
24,3,Male,Unmarried,Daily ,YES,1,NO,0,YES,1,0,Paid subscription like Netflix|Theaters    ,40,Director preferences,1,1,0,1,1,1,0,1,Yes,No
25,4,Male,Married,Monthly,NO,0,NO,0,YES,1,0,Netflix,72,Director preferences,1,0,0,1,1,1,0,0,Yes,No
26,4,Male,Married,Biweekly,YES,1,YES,1,NO,0,0,Theaters|free online streaming,8,Genre preferences,1,0,0,0,1,1,0,0,No,No
27,3,Male,Married,Weekly ,YES,1,YES,1,NO,0,0,Theaters|free online streaming,46,Cast preferences ,1,1,1,1,1,1,0,0,Yes,No
28,4,Male,Married,Weekly ,YES,1,NO,0,YES,1,0,Netflix|Theaters,55,Cast preferences ,1,1,0,1,1,1,0,0,Can't say,Can't say
29,2,Male,Married,Rarely,YES,1,NO,0,NO,0,0,theaters,66,Genre preferences,1,1,1,1,1,1,1,1,No,No
30,4,Male,Married,Monthly,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,68,Director preferences,1,1,1,1,1,0,0,0,No,No
31,4,Male,Married,Biweekly,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,53,Director preferences,1,0,0,1,1,1,0,1,Yes,No
32,4,Male,Married,Biweekly,NO,0,NO,0,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,86,Cast preferences ,1,1,1,1,1,1,0,0,No,Yes
33,4,Male,Married,Rarely,NO,0,NO,0,YES,1,0,Paid subscription like Netflix,3,Genre preferences,0,1,1,0,0,0,0,0,No,No
34,4,Male,Married,Biweekly,YES,1,NO,0,YES,1,0,Paid subscription like Netflix|Theaters    ,100,Director preferences,1,1,1,0,1,0,0,0,No,Yes
35,4,Female,Married,Monthly,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,80,Genre preferences,0,0,0,0,1,0,0,0,No,No
36,3,Female,Married,Weekly ,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,63,Cast preferences ,1,1,0,1,1,1,0,0,No,No
37,4,Female,Married,Weekly ,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,69,Genre preferences,1,1,0,1,1,1,0,1,No,No
38,4,Female,Married,Monthly,YES,1,NO,0,NO,0,0,theaters,39,Cast preferences ,1,1,0,1,1,0,1,1,Can't say,Can't say
39,4,Male,Married,Rarely,YES,1,NO,0,NO,0,1,theaters|Others,61,Genre preferences,0,1,0,1,0,1,0,0,Yes,Can't say
40,2,Male,Married,Daily ,NO,0,YES,1,NO,0,0,free online streaming,89,Genre preferences,0,1,1,0,1,1,0,0,Yes,Can't say
41,4,Male,Married,Weekly ,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,78,Cast preferences ,1,1,1,0,0,0,0,0,No,No
42,4,Male,Married,Monthly,NO,0,YES,1,NO,0,0,free online streaming,0,Genre preferences,0,1,0,1,0,1,0,0,No,No
43,4,Male,Married,Monthly,YES,1,YES,1,YES,1,0,Paid subscription like Netflix|theaters|free online streaming,0,Genre preferences,0,1,0,0,1,0,0,1,Can't say,No
